year,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,yield
1996,48.2,53.6,56.3,61.4,66.8,73.3,79.2,78,70.9,63,54.6,49.9,4.16,3.82,2.2,1.2,1.73,0.08,0,0,0,1.24,2.39,5.26,1190
1997,47.9,53,58.4,61.8,71.2,72.2,76.1,75,74.4,63.3,56.6,45.7,5.77,0.29,0.16,0.25,0.35,0.2,0,0.1,0,0.42,3.6,2.04,1720
1998,49.1,50.5,55,57.6,59.3,68.2,76.3,77.7,72.8,61.6,53.2,43.7,5.31,8.58,2.13,1.82,2.97,0.17,0,0,0.11,0.95,2.33,0.71,1130
1999,45.3,49.4,51.4,57.8,63.7,70.3,73.5,73.2,72.3,66.2,55.8,47.4,3.13,3.26,1.26,1.04,0.22,0.03,0,0,0.11,0.18,1.54,0.26,1720
2000,49.8,52.5,55.5,61.4,66.7,74.1,73.1,75.2,71.9,62.4,49.5,47.5,4.57,6.26,1.02,1.21,0.81,0.09,0,0.01,0.1,2.57,0.53,0.4,1380
2001,45.7,49.3,57.6,56.7,72.6,74.6,75.1,75.7,71.9,66.1,55.9,48.2,2.87,2.77,1.66,1.48,0,0.07,0,0,0.22,0.33,2.3,5.27,1570
2002,45.1,51.5,53.6,59.6,65.3,73.2,76.7,74.2,73.5,63.5,54.7,49,1.59,0.91,2.06,0.18,0.55,0,0,0,0,0,2.16,5.62,2000
2003,50.4,50.5,56.4,56,65.9,73,79.5,75.2,74.3,68.1,52,49.1,0.56,1.12,1.59,2.43,0.53,0,0,0.13,0,0.02,1.61,3.83,1890
2004,46.7,50.6,60.5,62.8,67.2,72.8,76,75.8,72.8,62.6,51.4,47.1,1.9,3.67,0.61,0.21,0.15,0,0,0,0.29,2.55,1.95,3.29,1760
2005,45.7,53,56.6,58.2,65.8,69.4,79.5,77.3,69.4,64.4,56,50.2,3.36,2.51,2.85,1.38,0.94,0.31,0,0,0.13,0.11,0.49,5.8,1550
2006,49,51.8,50.3,57.9,67.8,74.9,80.7,74,71.5,62,54.3,47.4,3.07,1.16,4.01,3.26,0.74,0,0.01,0,0,0.29,1.18,1.92,1840
2007,44.9,51.6,58.8,61.3,67.5,72.6,76.3,76.6,70.3,62.3,56.3,45.9,0.43,2.8,0.37,1.34,0.12,0,0.03,0,0.16,0.77,0.65,2.19,2170
2008,45.7,50.4,55.1,59.2,67.4,73.5,76.6,77.3,73.2,65.2,56.6,44.6,5.4,1.39,0.09,0.03,0.04,0,0,0,0,0.37,1.17,1.56,2400
